酒釀衝雞蛋,酒釀，紅糖（或白糖），雞蛋
酱烧鸡翅,材料：，鸡翅3支调味料：酱油1大匙，味霖1大匙
蔬果鸡肝泥,鸡肝1个，苹果半个，洋葱1/4个，盐少许
葱油饼+菜稀饭+榨菜肉丝,主料：面粉，大米，糯米，高梁米（可自己搭配）配料：油，大葱，花椒粉，盐，糖，绿叶蔬菜，胡萝卜，里脊肉丝，榨菜丝，大葱，姜丝，生抽，鸡精，红薯粉
响螺乌鸡汤,乌鸡（这次因为人多用了两只，平时自己家喝，1只就够了）枸杞：适量姜：适量蜜枣：两个（平时一个就够了）新疆有机大红枣：4粒（但是我家阿姨认为平时我们不放红枣比较好吃，因为我这次放的红枣把鸡的鲜和甜盖过去了，所以汤不够鲜，可以考虑不放）晒干响螺：16粒（平时我们就放大概6粒左右而已，大的响螺可以放更少），一般参茸行有卖，我们买的是日本的，比较小，感觉质量比较好干香菇：适量，我用的是去参茸行买的比较小的香菇，肉厚，感觉比较香，大的香菇华人超市也有卖，比较便宜，但是感觉没那么香排骨：少量（瘦肉也可以，用来提鸡的鲜味的）
加减醋,柴鱼高汤50cc，淡口酱油15cc，醋20cc，味醂20公克
抹茶泡芙,泡芙面煳：187公克，盐3公克，沙拉油112公克，高筋面粉150公克，全蛋270公克，内馅：适量，装饰：适量，薄荷巧克力适量
开油锅炸油角,油角皮：低粉1000克，猪油300克，鸡蛋6只油角馅：黑白芝麻共150克，炒花生200克（去皮，捣碎），椰蓉100克，糖400克
红薯奶昔,红薯800克，香草味酸奶735克，牛奶235毫升，冰块475毫升，白糖4克，成熟的香蕉1根，切片
冬瓜紫菜猪骨汤,猪骨，冬瓜适量，紫菜适量，盐适量，姜2片
越吃越美猪蹄冻,猪蹄，青豆，黄豆，胡萝卜，熏干，盐，醋，生抽，蒜末，香油
好食到停不了口的一一老婆饼,油皮：低粉200克，猪油60克，白糖40克，清水100克。油酥：低粉120克，猪油60克。馅料；黑芝麻70克，椰蓉30克，糯米粉120克，清水140克，白糖100克，色拉油4汤匙。
七珍营养煮,七珍：胡萝卜，土豆，桂圆，红枣，山药，羊肉片，香菜调料：盐
古典巧克力蛋糕,鸡蛋5个，糖A50克，糖B80克，黄油60克，黑巧克力150克，低粉40克，可可粉40克，塔塔粉2克盐1/2小勺
山元蘑炒肉,五花肉100克，蘑菇300克，青红椒4只
鲤鱼年糕,南瓜（100克）、糯米粉（200克）、澄粉（100克）、胡萝卜（70克）、牛奶（300克）、豌豆（煮、少许）、色拉油（50克）、糖粉（50克）、沙拉酱（少许）
罗勒芋头焖猪肉,罗勒（九层塔）100gm芋头1个500gm猪瘦肉（里脊肉）300gm蒜米1大颗（大小10瓣左右）老姜5片食油2汤匙盐1茶匙食水200ml生抽1汤匙花雕酒1茶匙
腊肉脆瓜,材料：腊肉150克，小黄瓜4根，木耳100克，蒜头2瓣，葱2根，辣椒1根调味料：绍兴酒2大匙，盐1小匙，香油半大匙
大理石乳酪布朗尼,巧克力糊：黑巧克力200克，黄油250克，鸡蛋150克，糖200克，盐1.5克，香草精6克，高筋粉100克，乳酪糊：奶油奶酪400克，糖85克，香草精3克，蛋黄30克
预防流感的薄荷粥,薄荷叶１５克，粳米２把，冰糖一大块，我用的是梨汁冰糖，更润肺
老干妈烧鳊鱼,鳊鱼一条，老干妈2/3汤匙，生抽1汤匙，姜丝若干，盐少量，胡椒粉适量，白糖适量，料酒半个汤匙
金橘贝壳酥,金桔馅料，葡萄干，朗姆酒，面皮：，无盐动物黄油125克，鸡蛋1个，糖粉80克，杏仁粉20克，低筋面粉250克，盐3克
火鸡双蔬烤意面,细管面（ziti）225克，橄榄油2茶匙，大洋葱1个，切碎，西红柿丁2罐（每罐约410克），火鸡绞肉（肉碎、肉末）340克，盐1/2茶匙，干百里香1/2茶匙，压碎，冷冻菜豆（四季豆）2盒（约280克），室温下解冻，冻青花菜（西兰花）1盒（约280克），室温下解冻后切块，低脂酸奶油（sourcream）110克，磨碎的帕尔马（Parmesan）奶酪60克
酸黄瓜鱿鱼沙拉,主料：熟鱿鱼片150g，酸黄瓜70g，橘子1个，葡萄干30g，球生菜70g，圆葱l0g，胡萝卜丝10g调料：马乃司15g，盐0.2g，胡椒粉0.3g，糖2g，番茄沙司10g
川味牛肉拉面,牛腩1000公克，牛腱500公克，小白菜70公克，拉面120公克，A.牛脂50公克，葱60公克，蒜仁60公克，老姜片20公克，花椒粒20公克，B.辣豆瓣酱120公克，八角12公克，桂皮12公克，甘草2片，冰糖70公克，米酒150cc，C酱油150cc，牛高汤5000cc，盐18公克
香肠卷,面粉2碗，酵母1/3汤匙，香肠5根，白糖半茶匙
炸猪排寿司,a.高丽菜20公克，小里肌肉60公克，盐少许，黑胡椒粒少许，海苔片3/4片，寿司饭适量，b.低筋面粉适量，蛋汁适量，面包粉适量
随手,酥油50g，杏仁粉100g，糖粉100g，白兰地20g，全蛋液100g
玫瑰熏鸡翼,鸡翼（中段）12只，粗盐（seasalt）20g，四川花椒10g，铝膜纸熏料：干玫瑰花1杯，红茶50ml，米50ml，糖50ml做法：
自创版京酱肉丝,韭葱（Leeks），猪瘦肉/鸡胸肉，淀粉，料酒，甜面酱/海鲜酱/鸭酱，盐
抹茶慕司生日蛋糕,配方：围边心型：黄油20G，糖粉20G，低筋面粉10G，蛋白20G围边海绵蛋糕片：全蛋1个，蛋白1个，低筋面粉50G，糖粉30G，抹茶粉5G戚风蛋糕底：蛋黄3个，蛋白3个，糖粉30G，玉米淀粉5G，低筋面粉60G，牛奶50G，色拉油30G慕司：马斯卡彭乳酪250G，朗姆酒5ML，牛奶50G，鱼胶片1片（5G/片），蛋黄1个，雀巢淡奶100ML，糖粉30G装饰巧克力片：黑巧克力50G，巧克力反转纸1张成品份量：6寸
红酒焖羊排,羊排，干红葡萄酒，葱，姜，蒜，大料，丁香，桂皮
香拌猪耳,花椒10几个，八角2个，冰糖少许，水，酱油，姜，葱2根，蒜蓉，香油，香菜碎，陈醋，辣椒油
五彩白肉卷,带皮熟五花肉500克，西芹200克，青尖椒100克，红尖椒100克，胡萝卜、香菜、红油、酱油、香油、花椒粉、蒜末、糖、盐、味精、醋各适量。
爽口马铃薯丝,马铃薯1颗，小黄瓜1/2条，鱼卵适量，A.水50公克，米醋40公克，味醂15公克，细砂糖10公克，酱油6㏄，B.芥末仔酱10公克，橄榄油5公克
肉末葱花卷,高筋粉420克，低筋粉180克，酵母9克，白糖30克，盐10克，鸡蛋一个，芝麻，水适量，肉末200克，葱末100克，盐10克，胡椒粉10克，料酒一勺
木瓜奶,木瓜1个、牛奶500ml、炼奶20ml、冰糖4粒
石斛老鸭汤,老鸭，石斛，铁棍山药，莲子，薏米，葱，姜，盐，料酒
酸甜排骨,排骨500g，米醋30ml，白糖30ml，大葱1段，姜1小块，大蒜2瓣，料酒15ml，生抽30ml，老抽10ml，水淀粉15ml，盐2g
芝士布朗尼,黑巧克力50克，黄油50克，低粉45克，可可粉5克，糖35克，鸡蛋1个，牛奶10克，泡打粉1/8小匙
红烧黄立鲳,鲳鱼1条，青红椒适量，姜适量，料酒适量，盐适量，生抽适量，鸡精适量，葱适量
蛋奶鲫鱼汤,主料：鲫鱼一条，胡椒粒5颗，蛋奶20克，姜10克，葱10克，盐适量，鸡精适量
咸猪肉荷兰豆意大利蝴蝶面,荷兰豆200克红萝卜1条咸猪肉100克奶油150克BASIAL碎黑胡椒粉蝴蝶面250克
香煎大马鲛鱼,大马鲛鱼1片，海粗盐适量（普通盐也可），生姜少许，葱花少许
年菜——新疆羊肉,羊肉片，洋葱，青椒，孜然
大碗腊味娃娃菜,嫩娃娃菜500克，腊猪肉100克，胡萝卜花片10克，姜片5克。调料猪油50克，味精10克，鸡精10克，白胡椒5克，鸡汤500克。
猪骨黄豆苦瓜汤,苦瓜1个，黄豆200克，猪骨500克，清水6碗（电压力锅，如果普通锅的话要8~10碗）
芝士焗餃子,冷凍水餃10顆，芝士碎適量，黑胡椒粉一點點，羅勒葉粉末一點點
班兰酸奶芝士蛋糕,奶油奶酪100克，酸奶120ML，班兰香精几滴，黄油60克，蛋4个，低粉35克，玉米淀粉20克，糖30+50克
番茄鸡蛋拉面,番茄1个，鸡蛋1个，手拉面100克，葱花适量，油，盐，生粉，鸡精，白糖适量
焦香排骨土豆,原料：排骨，配料：土豆，洋葱，花生米，佐料：葱，姜，蒜，酱油，五香粉，味精，豆腐乳汁，酱油，盐，干淀粉
意式甜椒洋葱猪排,猪大排5片center-cutloinchopsarepreferred培根3条切碎洋葱2个切丝红椒3个切条青辣椒4个，切丝2TBOregano，取叶切碎1TBRosemary，取叶切碎红酒醋1/4杯(帮助肉烂，但不会酸)橄榄油腌橄榄Kalamataolives盐，胡椒
手撕包,高粉150克，低粉100克，黄油15克，鸡蛋一个，水90克左右，盐5克，白糖25克，酵母3克，黄油140克裹入用，
蕃茄蛋豆腐,蕃茄1颗，蛋豆腐1盒，柴鱼酱油1大匙，水1大匙，味醂1/4茶匙，太白粉1/4茶匙
水牛城香辣鸡翅,鸡翅20个，从拐角处切开，去掉翅尖，黄油100克，溶化，辣椒酱7汤匙，生西红柿酱170克，辣椒粉1汤匙半，红椒1茶匙
牛奶小餐包,糖25-30克，酵母1小匙，牛奶105克，黄油20克，高粉200克，盐1/4小匙，鸡蛋1/2个
五香酥鱼,小黄鱼200g，鸡蛋1枚，面粉10g，五香粉5g，料酒10ml，盐3g，油200ml（实耗30ml）
微波鳕鱼,鳕鱼，葱丝，姜丝，蒜末，盐，蒸鱼豉油，香菜，剁椒
金枪鱼蔬菜沙拉,金枪鱼豉油罐头半罐，圆白菜5片，小玉米数颗，橄榄油1汤匙，盐1/4茶匙，白糖1/4茶匙，鸡汁1/2茶匙
甜甜蜜蜜—我的懒人可乐鸡翅,可乐一瓶２５０ml，鸡中翅一斤，油和冰糖
肉夾饃,紅燒五花肉　適量，普通中筋面粉440克，發酵粉（1teaspoon)2小匙，溫水250m，鹽2小匙
豆炒鸡蛋,鸡蛋2个，青毛豆300克，盐5克
栗子炒仔鸡,主料：鸡肉250克，栗子肉100克，绍酒2茶匙，酱油1汤匙，葱段，糖，醋，香油各适量。
红烩羊肉调味汁,红高汤3500cc，红酒240cc去皮番茄块280公克番茄煳55公克，红萝卜200公克白菜200公克，西芹末2汤匙洋葱末180公克，蒜头末20公克月桂叶2片，百里香2公克，盐少许黑胡椒粗粉少许，匈牙利红椒粉1汤匙
卤豆干,北豆腐一块，卤水一锅，连皮猪肘子肉一块
虾仁草菇,草菇200克，虾仁100克，猪瘦肉150克，烧卖皮18张，鸡蛋1个，精盐、胡椒粉、香油各适量。
菠菜猪肝汤,用料菠菜350克，猪肝150克，葱1根，姜、精盐各适量。
酸菜金针菇煲肥牛,肥牛，金针菇，粉丝，酸菜，花椒，干辣椒
兰花镶龙眼,用料主料：油发鱼肚200克、鸽蛋7只、鸡脯肉30克、净鱼肉20克、净虾肉30克、熟瘦火腿10克、蟹黄20克配料：鸡蛋清、红辣椒、黄瓜各适量调料：精盐、白胡椒粉、绍酒、葱汁、姜汁、清汤、味精、湿淀粉、熟猪油各适量
鱼松炒饭,材料香米饭150克，鸡蛋1只，鱼片干粒25克，西芹粒25克，红椒粒25克调味料植物油250cc，味精2克，盐、胡椒粉少许
芝士蒜蓉焗龍蝦,美国龍蝦两只，黄油，蒜蓉，芝士，香菜
金鱼蒸饺-富足有余,胡萝卜，饺子粉各500克，鲅鱼1条，猪肉馅100克，韭菜，豌豆各50克，香葱1棵，老姜1块，盐1/2茶匙（3g），芝麻香油1汤匙(15ml)
巧克力奇普马芬,奶油126公克，糖粉121公克，全蛋201公克，低筋面粉242公克，泡打粉7公克，牛奶61公克，巧克力豆92公克
猪骨腊味冻豆腐汤,猪骨，咸鱼，腊肠，葫芦瓜，冻豆腐，泡发香菇，姜片，葱
蕃茄猪肝蛋汤(一),蕃茄1个，猪肝，鸡蛋
清蒸肉圆,太白粉180公克，蕃薯粉160公克，温水60℃450cc，香油1小匙，新鲜虾仁150公克，绞肉200公克，酒1大匙，糖1小匙，水5大匙，蒸笼数个，香菜少许，蒜茸少许，酱油膏5大匙，蕃茄酱2大匙，海山酱4大匙，香油1大匙，蚝油3大匙，糖3大匙，水1杯
生菜火腿肠鸡蛋卷饼,飞饼两张，火腿肠一根，鸡蛋2个，生菜，黄瓜一根，黑胡椒粉，盐
椰香咖喱鸡,主料：鸡肉，辅料：洋葱，胡萝卜，土豆，柿子椒，调料：盐，鸡精，白糖，淀粉，咖喱，胡椒粉，孜燃，椰汁，香叶，小茴香，葱，姜，蒜
香肠马铃薯面,贝壳面60g，马铃薯1个，德国香肠2根，蒜头1颗，洋葱1/2个，白煮蛋1个，西芹碎7g，巴西里末2茶匙，盐适量，白胡椒粉少许，美乃滋56g，鲜奶100㏄
鱼生汤,草鱼肉200公克，广东A菜80公克，油条1/2条，葱5公克，熟白芝麻少许，牛头牌原味高汤1罐，水400㏄，白胡椒粉1/8茶匙，香油1/4茶匙
健康滋补的番茄鸡腿炖土豆,鸡大腿2只，番茄2个，洋葱100克，胡萝，土豆100克，葱姜适量，盐3克，鸡精，料酒，糖，老抽，八角
三丝豆苗汤,豆苗即豌豆苗，不过大家都习惯省略掉一个字。豌豆苗是豌豆初生芽，颜色碧绿可爱，味道清香爽口，用来做汤就最能体现出它的特色。今天将豆苗配上胡萝卜、香菇和瘦肉滚汤，色彩丰富，清香扑鼻，喝着清新开胃。调味料：生抽：1汤匙油：少许料酒：半汤匙鸡精：1/3汤匙盐：适量3-4人份胡萝卜：150克豆苗：250克瘦肉：100克鲜香菇：100克姜：2片水：6碗
柠香蜜汁鸡排,鸡胸肉2块，柠檬1个，大蒜1瓣，生抽30ml，蜂蜜25ml，清水150ml，水淀粉60ml，胡椒粉少许，盐少许
酸奶水果雪糕,酸奶，糖，蓝莓，油桃
翡翠麻椒凉面,主料：菠菜，面粉鸡蛋，豆芽菜，西餐火腿花生酱，盐，白糖，醋，辣椒油，蒜
彰化肉圆,水100公克，蕃薯粉300公克，胡椒粉1/3小匙，笋干200公克，里肌肉片150公克，香菇30公克，红葱酥3大匙，酱油1/3小匙，蒸笼少许，小碟子数个，香菜少许，蒜茸少许，水5匙，海山酱3大匙，味噌2大匙，糖3大匙，水3大匙
牛肉粉丝白菜沙锅,熟牛肉100g，白菜200g，粉丝100g，高汤、酱油、白糖、味精、鸡精、葱花、辣油、麻油各适量。
卤羊肉,羊肉600公克，葱2支，姜片5片，蒜头10瓣，卤羊肉卤包1包，盐1小匙，米酒1大匙，油2小匙
酸椒炒肉皮,肉皮，酸椒，腌红椒，韭花，油，盐，酱油
奶油栗子汤,熟栗子仁180g，胡萝卜1个（去皮，切小块），芹菜80g（切小段），洋葱1/2个（切碎），意大利撒拉米腊肠100g（切小丁），鸡汤700ml，黄油1汤匙（15g），淡奶油200ml
我家的三杯鸡腿,材料：鸡腿（3只），配料：姜（5片），蒜头（8瓣），调料：食用油+麻油的混合物：酱油：甜糯米酒=1：2：3
重芝士蛋糕,奶油奶酪200克，淡奶油250克，鸡蛋2个，糖70克，玉米淀粉50克，消化饼100克，黄油30克
五彩炒饭,米饭1碗、鲜香菇2朵、木耳3朵、红萝卜半根、甜椒半个、莴笋一小节、洋葱1个的4分之一、火腿肠1根、鸡蛋1个、盐、葱花、鸡精。
紫菜鱼丸煲,鱼丸10个紫菜2片芹菜1根，切段料酒醋
荸荠肉饼,主材：，枚头猪肉或碎肉450克，罐头荸荠，切粒300克左右，腌料（份量只供参考）：，生抽2汤匙，盐1茶匙，胡椒粉1茶匙，老抽1汤匙，油1汤匙，生粉2汤匙，水480毫升
低碳环保便当——带鱼寿司,寿司紫菜4张，米饭（一半大米，一半糯米，三人量），黄瓜，胡萝卜半根，带鱼400G，火腿肉，寿司醋，沙拉酱，介末，鱼子酱
奶油玉米汤,黄菜椒300g（切1cm见方小丁），玉米粒160g，橄榄油1汤匙（15ml），清水600ml，淡奶油100ml，盐1/2茶匙（3g），白胡椒粉1/3茶匙（2g）
老鸭香芋汤,净老鸭肉500克　　芋头200克　　油菜心150克　　火腿50克　　香葱3棵　　生姜1块　　食用油20克　　香油2小匙　　料酒大匙　　高汤1大匙　　精盐3小匙　　味精0.5小匙
黑椒牛肉土豆馅饼,主料：面粉200克，牛肉200克，（中）土豆1个，（中）洋葱1/6个调料：黑椒粉、姜末、盐、生抽、糖、料酒、鸡精各少许
鸡肉核桃玛芬蛋糕,煮鸡腿3个，玉米粉1杯，半白面1杯，燕麦0.5杯，杏仁粉适量，核桃仁0.5杯，苏打1大匙，水2杯
白萝卜牛仔骨汤,牛仔骨即牛的肋骨，一般多焖、烧、烤，其实其肉极嫩，用来做汤，易烂好出味，不比一般牛肉，需长时间的烹制，因此今天介绍给大家的这款略带韩风的白萝卜牛仔骨汤，是牛仔骨又一经典好味道的吃法。调味料：油：2汤匙料酒：1汤匙盐：适量鲜金针菇：100克黄豆芽：50克牛仔骨：400克芦笋：2条白萝卜：半根姜：3片水：5碗
辣味醋焖沙丁鱼,沙丁鱼，葱，姜，干辣椒
火腿蚕豆冬瓜汤,火腿，冬瓜，新鲜豆瓣，姜，盐，鸡精
红烧牛肉炖树菇,牛肉，干菇，老抽，红糖，葱，姜，干辣椒，八角，大料，桂皮，盐适量
金玉芙蓉虾,虾18个，咸蛋黄4个，玉米粒150g，青豆粒50g，芡实150g，白果数粒，紫甘蓝叶6张，白菜叶6张，鸡蛋清1个，盐30g，糖10g，白胡椒粉少许，黄酒30g，橄榄油300g
草莓酸奶慕斯蛋糕,草莓酸奶180克，淡奶油125克，明胶8克，6寸蛋糕底一个，草莓味QQ糖一包，草莓适量
干锅腊肉娃娃菜（少油版）,煮熟的腊肉娃娃菜一颗青蒜一根青椒一个大蒜一瓣，花椒粒少许，盐少许，鸡精少许，剁椒少许
豆椒炒兔片,兔片250克，青红辣椒件200克，以蒜茸、豆豉泥葱度为料头，绍酒10克，油味料等适量。
蒜香马鲛鱼,马鲛一条，蒜头3瓣，姜丝少许，盐少许，酱油，糖少许，一点点一点点，清水半碗，生粉少许，油，料酒少许
日本式烟肉鸡蛋煎饼,培根肉（烟熏肉）片340克，水315毫升，鸡蛋4个，普通面粉385克，盐1茶匙，卷心白菜（中等大小）1棵，去芯，切细丝，腌生姜末2汤匙，炸猪排酱或烧烤酱4汤匙
五彩相会,净仔鸡1只，鹌鹑蛋10枚，笋200g，干木耳10g，黄瓜1根，老姜3片，大蒜片5g，料酒1汤匙15ml，鸡精1茶匙5g，高汤500ml，盐1茶匙5g，油2汤匙30ml
涮牛肉箱寿司,牛肉薄片100片，萝卜婴适量，白萝卜1/2小条，西洋芥末酱适量，寿司饭200公克，酱油少许，箱寿司专用模型1个，保鲜膜1片
台湾鲁肉变身记,带皮五花肉，元葱，香菇，鸡蛋，酱油，糖，盐，料酒
蛋黄炬山药,山药500克，咸蛋黄2个，鲜蛋黄2个，面粉80克，生粉40克，吉士粉5克，清油少许，盐，糖适量。
铁蛋,A.鹌鹑蛋12颗，B.酱油1/2杯，八角3粒，冰糖1大匙，五香粉5公克，葱1根，姜片3片，蒜3瓣，水3杯
DIY奶油草莓蛋糕,草莓150g，动物性奶油200g，甜饼干100g，黄油25g，细砂糖25g，鱼胶粉6g（用吉利丁也行），细砂糖35g，草莓5颗（切成小丁），动物性奶油100g，细砂糖10g，草莓8-9颗，
老鸭煲,老土鸭1只，火腿、竹笋、虫草、葱丝、姜片、香料、盐、白糖、味精、老抽、高汤各适量
蒸伏鸭,主料：伏鸭300克，干椒粉10克，蒜瓣10克，豆豉8克调料：油100克，盐2克、味精1克，香菜2克
花生皮冻,猪皮500克　　盐酥花生仁10克　　香葱3棵　　生姜1小块　　高汤1大匙　　胡椒粉适量　　精盐1小匙　　味精1.5克
牛肉石锅拌饭,牛肉，牛肉酱，糖，蚝油，老抽，辣椒酱，盐，油，胡萝卜，黄豆芽，平菇，黄瓜，蛋黄，芝麻，韩国辣酱
黄桥糖烧饼,主料：面粉450g，猪油90g辅料：白砂糖160g，植物油60g，干酵母2g，打泡粉2g
白菜猪肉包,面粉，肥瘦肉，白菜，海米，香菇，粉条，葱，姜，盐，生抽，芝麻油，花椒粉，五香粉
黑豆饼,干黑豆500克，孜然粉1汤匙，辣椒粉1/2茶匙，盐1/2茶匙，切碎的鲜香菜半把，蔬菜油2汤匙，低脂原味酸奶8汤匙，低脂牛奶1汤匙，红辣椒粉1撮
海鲜香干肉糜炸酱,虾干，香干，肉糜，花生米，虾油，甜面酱，豆瓣酱，味增酱料，糖，鸡粉
卤水鹅头鹅脚鹅杂,鹅头，鹅脚，鹅肾，鹅肠，鹅肝，卤水，盐，酒
莲藕绿豆排骨汤,莲藕2节，绿豆少许，排骨1斤，蚝豉3只，无花果5粒，姜2片，陈皮0.25片，清水升，盐适量
煸炒豆角咸蛋,青嫩豆角（长豆）500g红萝卜半条咸蛋2粒食油蒜蓉盐半茶匙
菠萝咕老肉,猪瘦肉200g，菠萝半个，青椒一个，洋葱适量，鸡蛋清一个，嫩肉粉适量，番茄酱适量，白醋，盐适量，白砂糖，料酒
菇滑鸡煲仔饭,去骨鸡腿肉、香菇(家中整朵香菇刚好用完，所以临时拿切好丝的香菇干充充场面：)、青菜(任何一种青菜都行，我是用菠菜)、姜片、蒜、辣椒、白米、芝麻油。鸡肉腌料：酱油、酒、五香粉、胡椒粉、香油、少许的糖、蒜。调味酱汁：酒、酱油、糖。
广式叉烧肉,里脊肉250g，绍酒100ml，叉烧酱，大蒜半个
葱烧牛筋,水发牛筋225克，京葱50克，植物油45克，料酒5毫升，味精1克，盐2克，胡椒粉0.2克，酱油10毫升，淀粉6克，糖3克，汤70克。
香蒜番茄鸡肉意大利面,意大利面500克，橄榄油1汤匙，蒜头2个，捣碎，去皮无骨鸡胸肉2块，切成丁，捣碎的辣椒干少量，袋装番茄/西红柿30克，沥干汁液，切成条，现买的香蒜酱100克
佃煮煮汁,柴鱼高汤100cc，酱油50cc，酒50cc，味醂50cc，砂糖40公克
巧克力球,蛋糕100g，巧克力块100g，饼干适量，炼乳10g，杏仁角适量，彩色糖珠适量
可爱羊角酥,高粉90克，玛琪琳40克，低粉10克，奶粉7克，糖10克，盐2克，水40克，蛋10克，酵母5克，黄油10克
干炸丸子,猪肉馅200克，鸡蛋1个。调料油100克(约耗50克)，绍酒、甜面酱，葱、姜水、精盐、味精、五香粉各少许，淀粉适量，花椒盐少许。
南瓜煲鱼脯,主料：南瓜，草鱼生姜，葱盐，鸡精，胡椒粉，清汤，食用油，料酒
自制部队锅,韩国辣椒酱、韩国泡菜、午餐肉一听、半个洋葱、辛拉面1-2包、火锅年糕、芝士片3-4片、厨房调味品
【DIY橘子蛋奶布丁】,　材料：全脂牛奶300ML，鸡蛋3个，白糖30克，橘子四瓣。
半筋半肉牛肉面,牛腱1200公克，牛筋600公克，中式牛骨高汤5000cc，胡萝卜150公克，小白菜80公克，豆芽10公克，阳春面120公克，九层塔2叶，A.牛脂50公克，青葱末50公克，老姜片10公克，蒜仁30公克，B.辣豆瓣酱120公克，蚝油60cc，酱油150cc，C.米酒150cc，冰糖50公克，盐20公克，麻油20cc
香辣水煮鱼片,龙利鱼，西芹，金针菇，白胡椒粉，盐，料酒，葱姜蒜粉，淀粉，自制辣椒面，花椒碎，芝麻混合物，姜蒜片，辣椒碎，香辣酱，花椒油，辣酱油，香油，大蒜叶碎
碎烧鱼,草鱼1条，黄瓜50克。调料油1000克(实耗75克)，绍酒、酱油各2大匙，醋1大匙，白糖1／2大匙，精盐、味精各1／4小勺，葱、姜末、蒜片各少许，淀粉适量。
八宝笋筒饭,安徽创新地方菜肴。大春笋是当地一大特产，笋脆而多汁。蚕豆鲜嫩，香菇滑腻，板栗甜香，糯米软糯，加上笋丁的爽脆和虾仁的海鲜味，笋筒的沁人清香，各取其优配合成菜，令人馋欲大开。主料大春笋 糯米 火腿 香菇 嫩蚕豆瓣 板栗辅料虾仁调料花生油 精盐 味精 白糖
椰丝糯米球,椰丝90g、低筋面粉20g、蛋清2个、奶粉20g、白砂糖50g
泰式辣酱可乐鸭,鸭腿2个，蒜，葱适量，料酒，盐，味好美泰式甜辣酱1包，姜，可乐1瓶，鸡精，油，砂糖
海参鸡翅香菇粥,主料：海参，鸡翅中，干香菇配料：食盐，白糖
酸甜鸡丁,鸡胸肉，葱花，黄瓜，李锦记的甜辣酱，醋汁，糖，盐，油
粉皮鸡汤,鸡肉350克，葱15克，姜15克，红薯淀粉100克，盐5克
红烧五花肉,五花肉、八角、桂皮、香叶、花椒、干辣椒、生姜、大蒜、冰糖、食用油、料酒、生抽、蚝油、精盐
椒盐鱼片,鲷鱼130公克，地瓜粉适量，盐少许，白胡椒粉少许
酱猪排,主料：猪排300克，葱丝20克，蒜末5克，辣椒酱10克，精盐2克，白糖5克，胡椒面儿0.3克，姜末1克
香烤鸡,腌料：1.5tspsalt，盐1tspsugar，糖1tspCayennepepper，辣椒粉1tspcorianderpowder，芫茜籽粉1tspwhitepepper，白胡椒粉½tspfive-spicepowder，五香粉1tspgingerpowder，姜粉配了：花菜用鸡汤，橄榄油煮软，加点盐和胡椒，欧芹碎.全麦couscous，加入烧开的鸡汤，橄榄油，加点盐和胡椒，帕马松气斯，欧芹碎.
胡萝卜烧羊肉,羊肉，马蹄，胡萝卜，姜，蒜，桂皮，八角，料酒，酱油，蚝油，盐
法式焦糖布丁,蛋黄2只，鲜牛奶50ml，淡奶油100ml，砂糖20g，香草精2滴
宫保鸡丁（简单易学）,鸡肉，黄瓜，尖椒，干辣椒少许，淀粉，食用油，豆瓣酱，盐，鸡精，酱油，花椒粉
夏威夷风味鸡,去皮无骨鸡胸肉6块，日式照烧汁475毫升，分成份，菠萝圈6个，黄油115克，化开，袋装红糖165克，酱油180毫升，不加糖的菠萝汁180毫升，伍斯特沙司90毫升
乳酪布丁杏仁奶昔,乳酪布丁1盒，酸奶1袋，香蕉1根，大杏仁数颗
香草鲫鱼粥,本地鲫鱼约500G，白萝卜约400-500G，藿香1扎，香菜一扎，姜，干贝，油，麻油，料酒，盐，米
奶油鱼肚,水发鱼肚，宝塔菜，葱，姜，盐，料酒，高汤，鸡精
鲜巴西蘑菇鸡,材料：巴西蘑菇150克，，土鸡1只(约2斤半)，蛤蜊150克，，山药150克，，当归2片，红枣6粒，枸杞1小撮调味料：盐1/4大匙，鸡粉1小匙
土豆烧大肠,主料：猪大肠辅料：土豆（黄皮）调料：菜籽油，低钠盐，红油豆瓣，姜片，蒜片，干辣椒3个，八角1个，香叶，桂皮，花椒8粒
土豆片炒肉,瘦肉，土豆，葱，姜，蒜，酱油
红糟鱼片,鲷鱼1片，青蒜1支，辣椒1条，玉米笋6条，蒜末5公克，姜末5公克，高汤100㏄，A.盐1/4小匙，鸡粉少许，乌醋1小匙，胡椒粉少许，米酒1大匙，B.太白粉水少许，香油1/4小匙，A.蒜末5公克，姜末5公克，红糟酱1大匙，米酒1大匙，糖1/4小匙，B.太白粉少许
烤芝麻牛肉串,精牛肉400克，白芝麻、烤肉酱、酱油、绍酒各适量。
红薯馒头小饼,高粉160克，低粉140克，鸡蛋1只，盐4克，奶香红薯泥170克，糖60克，酵母5克，水40克，黄油30克，奶香红薯泥：，红薯去皮后净重100克，奶粉20克，水60ML
水蜜桃慕斯,奶油奶酪80克，吉利丁片4片，淡奶油200克，水蜜桃果粒适量，水蜜桃汁适量，糖30克
香滑奶糕,牛奶500ml，奶油150ml，椰奶200ml，绵白糖适量，生粉适量
沙拉船,基础甜面糰1200公克，火腿片20片，火腿丁适量，玉米粒适量，美奶滋适量
